category,term
Gender,Male
Rank / Type,Apostle
Church Status,Layperson
Family / Life State,Child
Vocation,Physician
Life Experience,Marriage
Virtue,Humility
Commonly Asked Intercessions,Healing
Region of Origin,Asia Minor
Tradition of Veneration,Greek
Era,Old Testament
Century,1st BC
Gender,Female
Rank / Type,Equal-to-the-Apostles
Church Status,Clergy - Deacon
Family / Life State,Teen
Vocation,Nurse
Life Experience,Difficult Marriage
Virtue,Courage
Commonly Asked Intercessions,Employment
Region of Origin,Greece
Tradition of Veneration,Russian
Era,Apostolic Age
Century,1st
Gender,Male & Female
Rank / Type,Enlightener
Church Status,Clergy - Priest
Family / Life State,Single Adult
Vocation,Soldier
Life Experience,Widowhood
Virtue,Charity
Commonly Asked Intercessions,Housing
Region of Origin,Constantinople
Tradition of Veneration,Romanian
Era,Pre-Nicene
Century,2nd
Rank / Type,Prophet
Church Status,Clergy - Bishop
Family / Life State,Married
Vocation,Officer / General
Life Experience,Loss of a Child
Virtue,Hospitality
Commonly Asked Intercessions,Marriage
Region of Origin,Egypt
Tradition of Veneration,Serbian
Era,Byzantine
Century,3rd
Rank / Type,Forerunner
Church Status,Monastic
Family / Life State,Widowed
Vocation,Sailor
Life Experience,Infertility
Virtue,Patience
Commonly Asked Intercessions,Children
Region of Origin,Syria
Tradition of Veneration,Georgian
Era,Post-Byzantine
Century,4th
Rank / Type,Patriarch (OT)
Church Status,Convert
Family / Life State,Parent
Vocation,Farmer
Life Experience,Adoption
Virtue,Forgiveness
Commonly Asked Intercessions,Pregnancy
Region of Origin,Palestine / Holy Land
Tradition of Veneration,Antiochian
Era,Modern
Century,5th
Rank / Type,Hierarch
Church Status,Cradle Orthodox
Family / Life State,Grandparent
Vocation,Shepherd
Life Experience,Parenting
Virtue,Repentance
Commonly Asked Intercessions,Childbirth
Region of Origin,Sinai
Tradition of Veneration,Bulgarian
Century,6th
Rank / Type,Hieromartyr
Family / Life State,Childless
Vocation,Merchant
Life Experience,Repentance from grave sin
Virtue,Obedience
Commonly Asked Intercessions,Education
Region of Origin,Cyprus
Tradition of Veneration,North American
Century,7th
Rank / Type,Martyr
Vocation,Scholar
Life Experience,Temptation
Virtue,Wisdom
Commonly Asked Intercessions,Travel
Region of Origin,Georgia
Tradition of Veneration,Western (pre-schism)
Century,8th
Rank / Type,Great Martyr
Vocation,Teacher
Life Experience,Despondency / Acedia
Virtue,Faith
Commonly Asked Intercessions,Military Service
Region of Origin,Armenia
Tradition of Veneration,Pan-Orthodox
Century,9th
Rank / Type,New Martyr
Vocation,Student
Life Experience,Grief / Bereavement
Virtue,Hope
Commonly Asked Intercessions,Mental Health
Region of Origin,Persia
Century,10th
Rank / Type,Venerable-Martyr
Vocation,Writer
Life Experience,Fear
Virtue,Love
Commonly Asked Intercessions,Addiction Recovery
Region of Origin,Rus' / Russia
Century,11th
Rank / Type,Confessor
Vocation,Translator
Life Experience,Doubt
Virtue,Perseverance
Commonly Asked Intercessions,Financial Need
Region of Origin,Ukraine
Century,12th
Rank / Type,Passion-Bearer
Vocation,Hymnographer
Life Experience,Loneliness
Virtue,Self-Control
Commonly Asked Intercessions,Lost Items
Region of Origin,Romania
Century,13th
Rank / Type,Venerable (Monastic)
Vocation,Musician
Life Experience,Addiction / Self-destructive habits
Virtue,Mercy
Commonly Asked Intercessions,Protection from Danger
Region of Origin,Serbia
Century,14th
Rank / Type,Ascetic
Vocation,Artist
Life Experience,Illness
Virtue,Zeal
Commonly Asked Intercessions,Protection from Illness / Epidemic
Region of Origin,Bulgaria
Century,15th
Rank / Type,Hermit
Vocation,Iconographer
Life Experience,Disability
Virtue,Discernment
Commonly Asked Intercessions,Missionary Work
Region of Origin,Mt. Athos
Century,16th
Rank / Type,Stylite
Vocation,Craftsman
Life Experience,Blindness
Virtue,Purity
Commonly Asked Intercessions,Farming / Crops
Region of Origin,Italy / Rome
Century,17th
Rank / Type,Fool-for-Christ
Vocation,Architect
Life Experience,Chronic Pain
Virtue,Meekness
Commonly Asked Intercessions,Animals / Livestock
Region of Origin,Gaul / France
Century,18th
Rank / Type,Unmercenary
Vocation,Judge
Life Experience,Poverty
Commonly Asked Intercessions,Deliverance from the Occult
Region of Origin,Germany
Century,19th
Rank / Type,Wonderworker
Vocation,Lawyer
Life Experience,Wealth
Commonly Asked Intercessions,A Peaceful Death
Region of Origin,Spain
Century,20th
Rank / Type,Missionary
Vocation,Ruler
Life Experience,Imprisonment
Region of Origin,British Isles
Century,21st
Rank / Type,Righteous
Vocation,Servant / Slave
Vocation,Fisherman
Life Experience,Exile
Region of Origin,Alaska
Rank / Type,Right-believing (Ruler)
Life Experience,Homelessness
Region of Origin,North America
Rank / Type,Myrrh-bearer
Life Experience,Persecution
Region of Origin,China
Rank / Type,Child-Saint
Life Experience,Torture
Life Experience,War
Life Experience,Captivity
Life Experience,Slavery
Life Experience,Slander / False Accusation
Rank / Type,Theotokos
Era,Unknown
Region of Origin,Ireland
Region of Origin,Scotland
Region of Origin,Wales
Region of Origin,England
Region of Origin,Mesopotamia
Region of Origin,North Africa
Region of Origin,Scythia
Region of Origin,Baltics
Region of Origin,Pontus
Region of Origin,Thrace
